sector_x,sector_y,corr,run_id
Communication Services,Communication Services,1.0,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Communication Services,0.7891491302711227,v2_20260217T141158Z_c04a438c
Consumer Staples,Communication Services,0.53227968812108,v2_20260217T141158Z_c04a438c
Energy,Communication Services,0.5808826334831478,v2_20260217T141158Z_c04a438c
Financials,Communication Services,0.5775180273085049,v2_20260217T141158Z_c04a438c
Health Care,Communication Services,0.5136389231079589,v2_20260217T141158Z_c04a438c
Industrials,Communication Services,0.5994062706286448,v2_20260217T141158Z_c04a438c
Materials,Communication Services,0.7441215433166485,v2_20260217T141158Z_c04a438c
Real Estate,Communication Services,0.06481064233909004,v2_20260217T141158Z_c04a438c
Technology,Communication Services,0.382281021664347,v2_20260217T141158Z_c04a438c
Utilities,Communication Services,0.13196022538043004,v2_20260217T141158Z_c04a438c
Communication Services,Consumer Discretionary,0.7891491302711227,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Consumer Discretionary,1.0,v2_20260217T141158Z_c04a438c
Consumer Staples,Consumer Discretionary,0.6526696534069238,v2_20260217T141158Z_c04a438c
Energy,Consumer Discretionary,0.5116020710964454,v2_20260217T141158Z_c04a438c
Financials,Consumer Discretionary,0.7256906713492014,v2_20260217T141158Z_c04a438c
Health Care,Consumer Discretionary,0.3602289863680382,v2_20260217T141158Z_c04a438c
Industrials,Consumer Discretionary,0.8309735170558458,v2_20260217T141158Z_c04a438c
Materials,Consumer Discretionary,0.6580637310406143,v2_20260217T141158Z_c04a438c
Real Estate,Consumer Discretionary,0.18224640049709873,v2_20260217T141158Z_c04a438c
Technology,Consumer Discretionary,0.5499878017273466,v2_20260217T141158Z_c04a438c
Utilities,Consumer Discretionary,0.11975806112560018,v2_20260217T141158Z_c04a438c
Communication Services,Consumer Staples,0.53227968812108,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Consumer Staples,0.6526696534069238,v2_20260217T141158Z_c04a438c
Consumer Staples,Consumer Staples,1.0,v2_20260217T141158Z_c04a438c
Energy,Consumer Staples,0.438059790158986,v2_20260217T141158Z_c04a438c
Financials,Consumer Staples,0.6031760943488411,v2_20260217T141158Z_c04a438c
Health Care,Consumer Staples,0.2128844042474925,v2_20260217T141158Z_c04a438c
Industrials,Consumer Staples,0.6558804670610018,v2_20260217T141158Z_c04a438c
Materials,Consumer Staples,0.44734527321872086,v2_20260217T141158Z_c04a438c
Real Estate,Consumer Staples,-0.02035196774851697,v2_20260217T141158Z_c04a438c
Technology,Consumer Staples,0.41576291593008674,v2_20260217T141158Z_c04a438c
Utilities,Consumer Staples,0.10797494672126119,v2_20260217T141158Z_c04a438c
Communication Services,Energy,0.5808826334831478,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Energy,0.5116020710964454,v2_20260217T141158Z_c04a438c
Consumer Staples,Energy,0.438059790158986,v2_20260217T141158Z_c04a438c
Energy,Energy,1.0,v2_20260217T141158Z_c04a438c
Financials,Energy,0.6437162528682062,v2_20260217T141158Z_c04a438c
Health Care,Energy,0.30285977145596754,v2_20260217T141158Z_c04a438c
Industrials,Energy,0.4160796576067943,v2_20260217T141158Z_c04a438c
Materials,Energy,0.5674111466568834,v2_20260217T141158Z_c04a438c
Real Estate,Energy,0.1541682920431819,v2_20260217T141158Z_c04a438c
Technology,Energy,0.44205899600658866,v2_20260217T141158Z_c04a438c
Utilities,Energy,-0.004378609203268216,v2_20260217T141158Z_c04a438c
Communication Services,Financials,0.5775180273085049,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Financials,0.7256906713492014,v2_20260217T141158Z_c04a438c
Consumer Staples,Financials,0.6031760943488411,v2_20260217T141158Z_c04a438c
Energy,Financials,0.6437162528682062,v2_20260217T141158Z_c04a438c
Financials,Financials,1.0,v2_20260217T141158Z_c04a438c
Health Care,Financials,0.3321898385387251,v2_20260217T141158Z_c04a438c
Industrials,Financials,0.5615989093205662,v2_20260217T141158Z_c04a438c
Materials,Financials,0.4442713451088767,v2_20260217T141158Z_c04a438c
Real Estate,Financials,0.07255430322399659,v2_20260217T141158Z_c04a438c
Technology,Financials,0.5644586191232847,v2_20260217T141158Z_c04a438c
Utilities,Financials,0.1418937214324049,v2_20260217T141158Z_c04a438c
Communication Services,Health Care,0.5136389231079589,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Health Care,0.3602289863680382,v2_20260217T141158Z_c04a438c
Consumer Staples,Health Care,0.2128844042474925,v2_20260217T141158Z_c04a438c
Energy,Health Care,0.30285977145596754,v2_20260217T141158Z_c04a438c
Financials,Health Care,0.3321898385387251,v2_20260217T141158Z_c04a438c
