date,ticker,company_name,sector,index_weight,close,return,direction,rank,run_id
2025-11-03,HSBA.L,HSBC,Financials,0.06,86.15464128233175,0.048953031463357756,gainer,1,v2_20260217T141158Z_c04a438c
2025-11-03,JD.L,JD Sports,Consumer Discretionary,0.0043874978146706,188.11921213060427,0.03821090637024665,gainer,2,v2_20260217T141158Z_c04a438c
2025-11-03,RKT.L,Reckitt,Consumer Discretionary,0.0090384614602681,428.6906846629326,0.03522957803811873,gainer,3,v2_20260217T141158Z_c04a438c
2025-11-03,CTEC.L,Convatec,Health Care,0.0050530048392854,458.999152267216,0.031478955509755824,gainer,4,v2_20260217T141158Z_c04a438c
2025-11-03,SHEL.L,Shell plc,Energy,0.075,151.39269437389643,0.0246885217880691,gainer,5,v2_20260217T141158Z_c04a438c
2025-11-03,MTLN.L,Metlen Energy & Metals,Utilities,0.0030476369992892,114.6589880763272,0.02416251075296497,gainer,6,v2_20260217T141158Z_c04a438c
2025-11-03,GLEN.L,Glencore,Materials,0.0028023727205362,401.75526039167204,0.020406987340305407,gainer,7,v2_20260217T141158Z_c04a438c
2025-11-03,SMIN.L,Smiths Group,Industrials,0.0036707559902381,219.99982112948322,0.020249265286652413,gainer,8,v2_20260217T141158Z_c04a438c
2025-11-03,AAF.L,Airtel Africa,Communication Services,0.0069002510379968,428.11055867665925,0.019770322254994546,gainer,9,v2_20260217T141158Z_c04a438c
2025-11-03,RR.L,Rolls-Royce Holdings,Industrials,0.0031379861749674,76.33420633637031,0.01813995893128687,gainer,10,v2_20260217T141158Z_c04a438c
2025-11-03,LLOY.L,Lloyds Banking Group,Financials,0.017,436.4579041747093,-0.05614124240053888,loser,1,v2_20260217T141158Z_c04a438c
2025-11-03,ICG.L,ICG,Financials,0.0093488851397007,313.47580825231256,-0.04191238464641059,loser,2,v2_20260217T141158Z_c04a438c
2025-11-03,IHG.L,IHG Hotels & Resorts,Consumer Discretionary,0.0075041625311564,402.5751150409687,-0.03744358277524695,loser,3,v2_20260217T141158Z_c04a438c
2025-11-03,INF.L,Informa,Communication Services,0.0072927834594742,241.85446256387257,-0.035099427954791124,loser,4,v2_20260217T141158Z_c04a438c
2025-11-03,WTB.L,Whitbread,Consumer Discretionary,0.0023478373595417,426.853242270854,-0.027046086202552732,loser,5,v2_20260217T141158Z_c04a438c
2025-11-03,BTRW.L,Barratt Redrow,Consumer Discretionary,0.0082083227058601,103.70438202596797,-0.026373880337045262,loser,6,v2_20260217T141158Z_c04a438c
2025-11-03,SGE.L,Sage Group,Technology,0.0024942065241641,195.8129864158534,-0.02259653717197684,loser,7,v2_20260217T141158Z_c04a438c
2025-11-03,LSEG.L,London Stock Exchange Group,Financials,0.025,285.9026929830482,-0.022192976784854712,loser,8,v2_20260217T141158Z_c04a438c
2025-11-03,BAB.L,Babcock International,Industrials,0.0025573496333893,152.07993325004082,-0.021721200967635277,loser,9,v2_20260217T141158Z_c04a438c
2025-11-03,IAG.L,International Airlines Group,Consumer Discretionary,0.0035519064317278,424.4379864294979,-0.01713054689845385,loser,10,v2_20260217T141158Z_c04a438c
2025-11-04,INF.L,Informa,Communication Services,0.0072927834594742,249.54717963442238,0.03180721574867864,gainer,1,v2_20260217T141158Z_c04a438c
2025-11-04,BP.L,BP,Energy,0.04,227.91275453813677,0.01920541000446653,gainer,2,v2_20260217T141158Z_c04a438c
2025-11-04,PRU.L,Prudential plc,Financials,0.016,108.4762853566626,0.01866330368704395,gainer,3,v2_20260217T141158Z_c04a438c
2025-11-04,BARC.L,Barclays,Financials,0.019,459.84187705850195,0.018578707457227134,gainer,4,v2_20260217T141158Z_c04a438c
2025-11-04,CTEC.L,Convatec,Health Care,0.0050530048392854,467.42260089793615,0.018351773830327846,gainer,5,v2_20260217T141158Z_c04a438c
2025-11-04,III.L,3i,Financials,0.0057810536972845,219.34792940772599,0.013973500981418053,gainer,6,v2_20260217T141158Z_c04a438c
2025-11-04,BLND.L,British Land,Real Estate,0.0087458195202911,265.3477904270483,0.012318243455788871,gainer,7,v2_20260217T141158Z_c04a438c
2025-11-04,LGEN.L,Legal & General,Financials,0.002525428972903,124.32787563346112,0.012165577954708606,gainer,8,v2_20260217T141158Z_c04a438c
2025-11-04,AZN.L,AstraZeneca,Health Care,0.072,157.9281511813343,0.011712530230620022,gainer,9,v2_20260217T141158Z_c04a438c
2025-11-04,SBRY.L,Sainsbury's,Consumer Staples,0.0079610345263902,401.62391742481867,0.011364881943435465,gainer,10,v2_20260217T141158Z_c04a438c
2025-11-04,BKG.L,Berkeley Group Holdings,Consumer Discretionary,0.0059206121478694,231.55244507119554,-0.044572558106582956,loser,1,v2_20260217T141158Z_c04a438c
