run_id,model_name,origin_timestamp,target_timestamp,horizon_step,horizon_unit,y_true,yhat,residual
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:21:00+00:00,1,minute,10446.74,10441.148,5.591562499999782
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:22:00+00:00,2,minute,10447.37,10441.02,6.3504687500008
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:23:00+00:00,3,minute,10447.04,10440.804,6.236289062500873
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:24:00+00:00,4,minute,10446.23,10440.601,5.629414062499563
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:25:00+00:00,5,minute,10444.55,10440.418,4.132031249999272
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:26:00+00:00,6,minute,10444.32,10440.255,4.065117187499709
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:27:00+00:00,7,minute,10445.86,10440.11,5.749648437500582
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:28:00+00:00,8,minute,10446.22,10439.982,6.237578124999345
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:29:00+00:00,9,minute,10445.98,10439.868,6.111835937499563
v1_20260217T140831Z_b0d2f871,LSTM,2026-02-13 16:20:00+00:00,2026-02-13 16:30:00+00:00,10,minute,10446.35,10439.768,6.582421875000364
